textDisplay,textOriginal,likeCount,publishedAt,updatedAt
最近、としみつのアップをよく見る気がする(嬉),最近、としみつのアップをよく見る気がする(嬉),0,2022-10-19T11:37:23Z,2022-10-19T11:37:23Z
みかんのシャツ普通に欲しいと思っちゃった,みかんのシャツ普通に欲しいと思っちゃった,2,2022-10-18T13:28:49Z,2022-10-18T13:28:49Z
東海が再現すると全部おもろいやん,東海が再現すると全部おもろいやん,0,2022-10-18T13:56:32Z,2022-10-18T13:56:32Z
はじめんもヘラヘラもガードマンも、伸びてない割には面白さはあったけど、感謝は本当に😶だった。,はじめんもヘラヘラもガードマンも、伸びてない割には面白さはあったけど、感謝は本当に😶だった。,5,2022-10-19T03:19:39Z,2022-10-19T03:19:39Z
サンタVSトナカイ、ここで取り上げられても頑なに伸びてなくて草,サンタVSトナカイ、ここで取り上げられても頑なに伸びてなくて草,1,2022-10-19T15:15:10Z,2022-10-19T15:15:10Z
今見てもトナカイvsサンタの再生数28万再生のままなの笑うw,今見てもトナカイvsサンタの再生数28万再生のままなの笑うw,3,2022-10-18T14:31:44Z,2022-10-18T14:31:44Z
1問目の人、映像見て何となく雰囲気ぽいなぁと思ったら本当にそうだった！自分に驚き！,1問目の人、映像見て何となく雰囲気ぽいなぁと思ったら本当にそうだった！自分に驚き！,1,2022-10-18T12:46:12Z,2022-10-18T12:46:12Z
全部わかった自分は確実にYouTubeみすぎ😂😂😂,全部わかった自分は確実にYouTubeみすぎ😂😂😂,0,2022-10-18T14:54:22Z,2022-10-18T14:54:22Z
２問目の『美味しーヤミー』は最終問題の伏線だったんか笑笑,２問目の『美味しーヤミー』は最終問題の伏線だったんか笑笑,0,2022-10-19T01:23:02Z,2022-10-19T01:23:02Z
にらめっこの動画はたしかに虫さん好きじゃなさそうw,にらめっこの動画はたしかに虫さん好きじゃなさそうw,2,2022-10-18T16:01:39Z,2022-10-18T16:01:39Z
マサイ族とジャンプしてるゆめまる、ばりかわいい,マサイ族とジャンプしてるゆめまる、ばりかわいい,0,2022-10-19T16:37:50Z,2022-10-19T16:37:50Z
11:42ぴょんぴょん飛ぶゆめまる可愛くないか？,"11:42
ぴょんぴょん飛ぶゆめまる可愛くないか？",1,2022-10-18T13:16:47Z,2022-10-18T13:16:47Z
これを見た視聴者さん達が本家の動画を少なからず覗きに行くこともあると思います！,"これを見た視聴者さん達が
本家の動画を少なからず覗きに行くこともあると思います！",0,2022-10-19T10:41:57Z,2022-10-19T10:41:57Z
最後の虫さん尊いわぁ…エンドレスリピート,最後の虫さん尊いわぁ…エンドレスリピート,0,2022-10-18T15:03:58Z,2022-10-18T15:03:58Z
東海に染まってるせいで、1番も2番も3番も面白かったんだけど、東海フィルター通しても4番だけちゃんと面白くないの逆に面白かったわw,東海に染まってるせいで、1番も2番も3番も面白かったんだけど、東海フィルター通しても4番だけちゃんと面白くないの逆に面白かったわw,5,2022-10-18T13:32:24Z,2022-10-18T13:32:24Z
即帰宅の旅の件から、東海が無理してスカイピースと関わろうとしてる感が凄い本人たちがどう思ってるかは知らないけど、少なくとも自分はそんな求めてない,"即帰宅の旅の件から、東海が無理してスカイピースと関わろうとしてる感が凄い
本人たちがどう思ってるかは知らないけど、少なくとも自分はそんな求めてない",14,2022-10-18T22:41:44Z,2022-10-18T22:41:44Z
第一回ぎりぎり！で爆笑した,第一回ぎりぎり！で爆笑した,1,2022-10-18T17:48:17Z,2022-10-18T17:48:17Z
サンタvsトナカイ懐かしすぎて死ぬw,サンタvsトナカイ懐かしすぎて死ぬw,0,2022-10-19T11:49:18Z,2022-10-19T11:49:18Z
4本目なんか明らかに笑い少なかったしなんかそんな気してたw,4本目なんか明らかに笑い少なかったしなんかそんな気してたw,2,2022-10-19T14:25:00Z,2022-10-19T14:25:00Z
129万回再生で伸びてないって凄いよな…,129万回再生で伸びてないって凄いよな…,0,2022-10-18T15:07:08Z,2022-10-18T15:07:08Z
ゆめまる作業服でSTUSSY着てる😂😂,ゆめまる作業服でSTUSSY着てる😂😂,0,2022-10-18T16:30:39Z,2022-10-18T16:30:39Z
これは東海がマサイ族で動画作るべきw,これは東海がマサイ族で動画作るべきw,0,2022-10-19T14:44:26Z,2022-10-19T14:44:26Z
たしかに伸びない動画って誰がやってもつまらんってなってしまうなw,たしかに伸びない動画って誰がやってもつまらんってなってしまうなw,1,2022-10-18T23:44:54Z,2022-10-18T23:44:54Z
なんか東海と感謝感謝はことごとく視聴者層が被らないんだと思う動画だった。,なんか東海と感謝感謝はことごとく視聴者層が被らないんだと思う動画だった。,63,2022-10-18T12:30:21Z,2022-10-18T12:30:21Z
芋が登場した時点でこれは、もしや。と思ったら当たってた(はじリス),芋が登場した時点でこれは、もしや。と思ったら当たってた(はじリス),1,2022-10-18T14:25:49Z,2022-10-18T14:25:49Z
